timestamp,total_vehicles,available,veo_total,spin_total,avg_range
20260802T064556Z,3513,3331,2216,1297,17.54276686592656
20260802T091411Z,3526,3366,2211,1315,17.753947816222347
20260802T095833Z,3533,3367,2221,1312,17.79570053778658
20260804T091038Z,3498,3368,2225,1273,18.306906803887934
20260804T104704Z,3502,3371,2226,1276,18.293766419189033
20260804T210238Z,3516,3354,2251,1265,18.612869738339022
20260805T104324Z,3493,3384,2229,1264,19.078972230174635
20260805T110305Z,3495,3381,2230,1265,19.049739628040058
20260805T135709Z,3490,3403,2231,1259,19.137045845272205
20260805T170743Z,3516,3426,2249,1267,19.196009670079636
20260805T205811Z,3503,3402,2239,1264,19.02267485012846
20260806T104637Z,3495,3416,2227,1268,18.727602288984265
20260807T005054Z,3508,3406,2237,1271,18.921696123147093
20260807T090748Z,3506,3438,2240,1266,18.850134055904167
20260807T203028Z,3431,3327,2154,1277,18.80714077528417
20260808T085125Z,3403,3329,2144,1259,18.688398471936527
20260808T201820Z,3415,3304,2162,1253,18.28354026354319
20260809T085337Z,3405,3329,2120,1285,18.266334801762117
20260809T202048Z,3443,3329,2159,1284,18.22968051118211
20260810T094043Z,3427,3325,2130,1297,18.48912168077035
20260810T203151Z,3421,3297,2151,1270,18.629760304004677
20260811T090657Z,3417,3330,2146,1271,18.519935616037458
20260811T203458Z,3404,3312,2142,1262,18.529703290246765
20260812T061415Z,3353,3254,2139,1214,18.62509394572025
20260812T091841Z,3357,3258,2139,1218,18.620908549299973
20260812T200448Z,3372,3272,2154,1218,18.720044483985767
20260812T203354Z,3369,3264,2151,1218,18.694152567527457
20260813T091946Z,3361,3272,2145,1216,18.89309134186254
20260813T203137Z,3366,3265,2164,1202,19.040207961972666
20260814T091422Z,3339,3252,2154,1185,18.65409104522312
20260814T202225Z,3375,3247,2160,1215,18.70594962962963
20260815T083709Z,3354,3247,2147,1207,18.257391174716755
20260815T201156Z,3360,3236,2148,1212,18.41636011904762
20260816T083733Z,3315,3174,2141,1174,18.187900452488687
20260816T201120Z,3372,3200,2173,1199,18.066052787663107
20260817T085238Z,3336,3200,2146,1190,18.243078537170266
20260817T201543Z,3337,3215,2146,1191,18.444644890620317
20260818T084615Z,3321,3245,2118,1203,18.85893405600723
20260818T201306Z,3332,3236,2136,1196,18.826041416566625
20260819T084631Z,3306,3218,2106,1200,18.737552934059284
20260819T201639Z,3255,3147,2068,1187,18.513084485407067
20260819T224918Z,3277,3186,2078,1199,18.44721086359475
20260819T225657Z,3269,3175,2076,1193,18.4414897522178
20260820T011253Z,3281,3195,2077,1204,18.5471380676623
20260820T084858Z,3248,3173,2061,1187,18.565643472906405
20260820T163112Z,3245,3147,2071,1174,18.631676425269646
20260820T201830Z,3274,3166,2078,1196,18.71115760537569
20260820T222914Z,3255,3156,2067,1188,18.519462365591398
20260821T011622Z,3264,3154,2072,1192,18.431106004901963
20260821T084947Z,3274,3190,2060,1214,18.37094685400122
20260821T162937Z,3274,3175,2065,1209,18.77732437385461
20260821T201529Z,3252,3136,2049,1203,18.46661746617466
20260821T222606Z,3245,3124,2042,1203,18.493328197226504
20260822T011216Z,3231,3100,2041,1190,18.20304549675023
20260822T083813Z,3237,3143,2052,1185,17.9755390793945
20260822T162005Z,3251,3136,2066,1185,18.313155952014764
20260822T201220Z,3257,3152,2057,1200,18.32746699416641
20260822T222316Z,3238,3132,2042,1196,18.142847436689316
20260823T011829Z,3232,3109,2053,1179,18.042834158415843
20260823T083841Z,3226,3124,2021,1205,18.036298822070677
20260823T162102Z,3231,3104,2039,1192,18.257635406994737
20260823T201211Z,3220,3081,2038,1182,18.050391304347826
20260823T222240Z,3217,3064,2038,1179,17.85167547404414
20260824T011624Z,3219,3071,2028,1191,17.72041006523765
20260824T085636Z,3193,3068,2009,1184,17.929433134982776
20260824T163347Z,3213,3101,2039,1174,18.224500466853407
20260824T201927Z,3237,3125,2056,1181,18.2589187519308
20260824T222740Z,3207,3097,2040,1167,18.181281571562206
20260825T011444Z,3189,3091,2035,1154,18.123628096582
20260825T085127Z,3223,3133,2050,1173,18.47849519081601
20260825T201833Z,3103,2978,1969,1134,18.425987753786657
20260825T222904Z,3111,2982,1974,1137,18.137621343619415
20260826T011703Z,3150,3029,1990,1160,18.204152380952383
20260826T085257Z,3173,3076,1995,1178,18.563687362117868
20260826T164616Z,3176,3055,2010,1166,18.429436397984887
20260826T223612Z,3144,3008,1996,1148,18.00388040712468
20260827T025914Z,3147,3004,1990,1157,18.45324118207817
20260827T074808Z,3138,3024,1996,1142,18.49833652007648
20260827T190114Z,3166,3062,2000,1166,18.536149715729625
20260828T004426Z,3140,3019,1990,1150,18.433808917197453
20260828T035534Z,3172,3073,1992,1180,18.37671185372005
20260828T055938Z,3125,3020,1986,1139,18.329296
20260828T095237Z,3185,3099,2006,1179,18.457378335949766
20260828T200856Z,3173,3050,2001,1172,18.37849353923731
