Date,Time,Timestamp Precision,Multiple Snapshots On Date,Spacing (Hours from Prior Snapshot),Filename,Row Count,Veo Count,Spin Count,Size (KB),Quality Status,Exclusion Recommendation,Quality & Completeness Comments
2019-10-03,14:14:27,YES,NO,N/A,Spin Analytics Test Dataset v2.csv,100,0,0,8.0,PASS,Include,Complete dataset (100 rows) | 100 missing lat/lon rows
2023-04-28,00:00:00,YES,NO,N/A,Reported_Vehicles_as_Not_Found_or_Damaged_or_Vandalized_-_Columbus_Dayton_2023-04-28T1002.csv,158,0,0,20.8,PASS,Include,Complete dataset (158 rows) | 158 missing lat/lon rows
2023-12-08,12:01:53,YES,NO,N/A,Sheet 1-Tier Park Deployment Points (DOPs) - Columbus.csv,330,0,0,22.2,PASS,Include,Complete dataset (330 rows) | 330 missing lat/lon rows
2024-05-27,00:00:00,NO (Midnight default),NO,N/A,Inventory_Columbus - N High St - SC - Spin - OH - US - NA_12_28_2024_05_27_37.csv,1004,0,0,202.2,PASS,Include,Complete dataset (1004 rows) | 1004 missing lat/lon rows
2025-02-02,00:00:00,YES,NO,N/A,pheenix-ush-llc-v-city-of-columbus.ohsd.69485624.2025-02-02.csv,40,0,0,17.3,WARN,Review,Partial snapshot (40 rows) | 40 missing lat/lon rows
2025-05-01,00:00:00,YES,NO,N/A,The Ohio State University - Spin-aggregated-routes-from-2025-05-01-to-2026-07-27.csv,4939,0,0,217.2,PASS,Include,Complete dataset (4939 rows) | 4939 missing lat/lon rows
2026-01-01,00:00:00,YES,YES,0.00,The Ohio State University - Spin-aggregated-routes-from-2026-01-01-to-2026-07-26 (1).geojson,0,0,0,1118.4,FAIL,EXCLUDE,0 rows / Empty file
2026-01-01,00:00:00,YES,YES,0.00,The Ohio State University - Spin-aggregated-routes-from-2026-01-01-to-2026-07-26.csv,3616,0,0,159.5,PASS,Include,Complete dataset (3616 rows) | 3616 missing lat/lon rows
2026-01-01,00:00:00,YES,YES,0.00,The Ohio State University - Spin-aggregated-routes-from-2026-01-01-to-2026-07-26.geojson,0,0,0,1146.1,FAIL,EXCLUDE,0 rows / Empty file
2026-02-21,16:30:18,NO (Midnight default),NO,N/A,Columbus_Veo_Fleet.csv,824,0,0,62.3,PASS,Include,Complete dataset (824 rows)
2026-02-25,12:36:58,YES,NO,N/A,columbus_scooters_20260225_123658.csv,1752,1038,714,114.9,PASS,Include,Complete dataset (1752 rows) | Multi-vendor (Veo + Spin)
2026-03-04,19:26:39,NO (Midnight default),NO,N/A,More results for 'Dayton + Columbus Actions - 2026WK10'.csv,316,0,0,72.1,PASS,Include,Complete dataset (316 rows) | 316 missing lat/lon rows
2026-03-05,00:00:00,YES,NO,N/A,Dayton + Columbus Actions - 2026WK10_2026-03-05T12:02:17.142107714Z.csv,437,0,0,100.1,PASS,Include,Complete dataset (437 rows) | 437 missing lat/lon rows
